Komentar,Bintang,Tanggal
sangat setuju informasi ini dan sangay membantu,5,2023-06-03 17:27:19
"Mohon untuk di tingkatkan lagi untuk fitur notifikasinya agar para pengguna tidak kesusahan untuk mendapatkan notifikasi gempa, bahkan sering sekali tidak mendapatkan notifikasi dan kadang karna delay sering terjadi spam notifikasi yang membuat kurang nyaman. Fitur kualitas cuaca hanya mencakup kota kota tertentu saja, sehingga pengguna yang daerahnya tidak termasuk tidak bisa melihat kuaalitas udara di daerah mereka, harusnya setiap kabupaten dimasukan sehingga memudahkan para pengguna",3,2023-06-03 08:44:18
"Sangat bermanfaat, info cepat dan cukup akurat",5,2023-06-01 16:39:45
👍🏽,5,2023-06-01 14:39:41
Ok sangat membantu bagi petani karena jadwal cuaca bisa jadi patokan buat aktipitas,5,2023-05-29 17:40:54
Kok jadi jelek setelah pembaruan? Maaf karena kurasakan jadi tidak berguna maka saya uninstal saja aplikasi ini.,1,2023-05-29 12:30:20
Goyang,5,2023-05-27 21:33:35
"Min tolong buat pengaturan yang bisa menerima notifikasi di daerah yang dinginkan. Jangan gempa di semua daerah, masuk notifikasi. Contoh gempa di Sumatera, notifikasinya sampai ke Papua. Buat apa min? Buat apa?",4,2023-05-27 14:12:34
"rasa beda tampilan bmkg sekarang, apalagi tampilan menu mencari cuaca sangat berbeda sekali dan binggung, tolong kembalikan tampilan lama, tapi tampilan di dashboard jgn di ubah",2,2023-05-26 09:23:20
sanagat bagus,5,2023-05-26 07:13:30
Sangat bermanfaat memperoleh informasi,5,2023-05-25 12:29:00
Kurang mantapp.,3,2023-05-25 11:37:40
Wiliam gunawan,5,2023-05-25 10:21:30
Oke,5,2023-05-25 04:31:16
Terimakasih aplikasinya bermanfaat,3,2023-05-25 00:02:57
Tidak bisa membaca lokasi gps secara langsung,2,2023-05-24 01:10:08
aplikasi ngk berguna...gempa udah skian menit masih ngk bisa di lihat...aplikasi tidur mulu.,1,2023-05-24 00:48:54
Informasi data cuaca dan klimatologi yang bisa membentu kita. 👍👍❤️,5,2023-05-23 22:02:03
Sangat menunjang aktivitas diluar ruangan.. dgn data yg valid semuanya bisa diatasi.!!,5,2023-05-23 07:31:33
Info bmkg nya bagus,5,2023-05-22 21:17:18
Hampir tidak pernah mendapat notifikasi setela update aplikasi. Terjadi beberapa kali gempa di beberapa daerah berdekatan tetapi tidak terbaca di aplikasi ini. Mohon aplikasinya diperbaiki lagi 🙏,1,2023-05-22 00:58:10
👍👍👍👍,5,2023-05-22 00:32:58
"gak pernah sedikitpun tepat, kumpulan orang2 bodoh dan makan gaji buta",1,2023-05-21 09:37:56
Persi lama coba dulu bang.,1,2023-05-20 22:49:08
makin kesini bug terus !!,2,2023-05-20 00:48:47
"tampilan cuaca maritim berubah makin ribet, sblm update utk melihat cuaca maritim tinggal klik peta, skrg harus ketik lokasi d pencarian..fitur klik peta d hilangkan👎👎👎👎👎",1,2023-05-19 09:09:26
Menerima dan mencari info bencana banjir bandar longsor puting beliung gempa bumi dll mhn di infikan yg akurat terima kasih,5,2023-05-19 01:03:45
Di tempat saya hujan di laporan berawan aneh bin ajaib,3,2023-05-18 22:21:20
Mantap... sangat membantu,5,2023-05-15 04:20:34
Terimakasih banyak ya BMKG..... Semoga tambah sukses dan berkualitas ya BMKG....,5,2023-05-14 23:33:59
"Makin gak jelas app ni, gempa gak muncul. Pas gak gempa masuk notif. Tapi gak bisa di klik. Harus masuk manual, zzzz",1,2023-05-14 23:22:38
👍👍👍👍👍,5,2023-05-14 19:35:16
"kenapa sekarang kalau muncul ada gempa di notif ga muncul juga di aplikasinya?? udah di update tetep aja, hp juga bolak balik di mati daya masih ga berubah tolong di perbaiki lagi ya, terimakasih",1,2023-05-14 18:53:27
Apakah bisa digunakan untuk menjadi widget secara real time? klo bisa bintang 5,4,2023-05-14 18:15:32
Update Gempa jarang. Update Cuaca Buruk gak pernah. Update Suhu / Ultraviolet bahaya ga pernah. Harusnya Apk otomatis kasih peringatan di Notifikasi. Badan keamanan sekelas Negara harus mengayomi. Kaya Korsel Jepang klo ada bencana atau apa Notifikasi muncul.,1,2023-05-14 13:26:44
"Klo buat cek cuaca di indo aja, App BMKG cukup akurat.",5,2023-05-14 10:50:46
Bagus,5,2023-05-12 18:40:23
Sangat bermanfaat,5,2023-05-12 06:51:05
"Lebih baik versi yg sebelumnya, untuk notifikasi gempa juga sekarang lebih lama. Setengah jam lebih setelah gempa baru muncul notif. Sebelum update sekitar 11-15menit selisih notif dengan kejadian.",2,2023-05-12 06:41:23
Informasinya sangat membantu untuk antisipasi jika keadaan memburuk.,5,2023-05-11 23:28:27
Bagus dan terima kasih.,5,2023-05-11 15:11:31
Cukup mengecewakan,1,2023-05-11 09:18:29
Mohon agar lebih baik lagi,4,2023-05-10 17:08:16
Mantap,4,2023-05-10 16:50:16
Lumayan,5,2023-05-10 16:20:25
Mantulll,5,2023-05-10 14:29:02
Sangat membantu..,5,2023-05-10 12:22:51
Selalu update,5,2023-05-10 01:28:51
Baik sekali informasi cuacanya,5,2023-05-09 15:54:46
Mantap,5,2023-05-09 15:29:45
"Bisa buat tau cuaca, trus gempa ada dimana, bafus sih ini aplikasi",5,2023-05-09 13:01:59
bagusan versi lama....,1,2023-05-09 11:33:48
Api,5,2023-05-09 02:00:09
Sangat membantu,5,2023-05-09 01:04:20
Tidak akurat.di aplikasi membuktikan cuaca di tempat saya malam ini hujan sedang.nyata gak hujan Sama sekali malam ini.jadi hapus saja ni aplikasi.,1,2023-05-08 22:41:05
Informasinya Sangat membantu,5,2023-05-08 21:33:16
Ok,1,2023-05-08 16:06:01
"Team developer BMKG tambahkan fitur BMKG navigasi, GPS dan Peta tranportasi kerata,tol,bandara, sesuai lokasi terkini 24 jam dengan BMKG navigasi saya atau sesuai posisi kendaraan dll agar BMKG hilirisasi pelayanan publik umum agar menjadi pusat informasi umum yang lebih fleksibel di setiap perubahan navigasi kebutuhan masyarakat domestik maupun internasional khususnya para wisatawan domestik maupun internasional yang ingin berwisata di seluruh Indonesia",5,2023-05-08 14:38:41
Informasinya selalu update,5,2023-05-07 19:45:02
lumayan bagus.,4,2023-05-07 08:31:44
Bagus,5,2023-05-07 03:50:44
Jelek,1,2023-05-06 23:31:47
Sangat membantu sekali,5,2023-05-06 23:05:11
Bagus untuk pemain layangan,5,2023-05-06 01:40:28
Saya banyak mendapat informasi tentang fenomena alam,5,2023-05-05 18:55:05
Aplikasi ga jelas katanya cari kecamatan masa kec lelea indaramayu kaga ada,1,2023-05-05 01:44:07
semoga menjadi aplikasi yg akurat,4,2023-05-04 22:02:48
"bug ,mau masuk ke apk delay lama dan di home loading nya lama kadang gada muncul",5,2023-05-04 12:48:14
Mantap,5,2023-05-04 09:45:18
"bagus, tapi notifnya kurang heboh hahaha",5,2023-05-04 06:10:23
Sangat membantu informasinya !!,5,2023-05-04 02:30:00
Info Gempa nya Akurat,5,2023-05-03 21:25:43
Sangat bermanfaat info bmkg,4,2023-05-03 20:55:36
"Aplikasi nya Bagus, sangat membantu",4,2023-05-03 16:51:48
Jos,5,2023-05-03 15:23:57
Bagus..dibuat per jam lebih bagus,4,2023-05-03 13:55:56
Bagus,5,2023-05-03 08:43:35
Oke,5,2023-05-03 03:39:56
Ok,5,2023-05-02 20:29:21
"Nice, Very Good",5,2023-05-02 16:06:56
Bagus,5,2023-05-02 15:03:39
Sangat informatif...,5,2023-05-02 09:00:01
bagus nermanfaat,5,2023-05-02 05:46:50
"Mendingan yg sebelumnya, lokasinya bisa pindah"" sendiri,",1,2023-05-02 02:42:29
Aplikasi yang sangat bagus dan penting sekali untuk mengeta,5,2023-05-01 20:03:47
"Sangat membantu perkiraan cuaca, tinghi gelombang dll",5,2023-05-01 20:03:23
"Mantap, bikin tambah wawasan...",4,2023-05-01 17:58:13
Bagus,4,2023-05-01 12:58:14
Sangat membantu setiap kali mw bepergian lewat laut selalu buka cek aplikasi ini,5,2023-05-01 10:41:20
Bagus,5,2023-05-01 10:34:38
"Terimakasih ,,sangat bermanfaat untuk sayang bisa mengetahui bencana di setiap daerah di seluru penjuru Nusantara 👍👍👍🇲🇨🇲🇨🇲🇨",5,2023-05-01 01:41:38
Bagus mantap akurat,5,2023-04-30 20:56:11
Sangat bermanfaat,5,2023-04-30 14:59:04
"Mohon untuk pihak admin aplikasi untuk update/perbaiki untuk masalah fitur ""Kualitas Udara"" soalnya sering gak ada apa apa kadang juga muncul tapi keseringan gak ada... Mohon di perbaiki secepatnya lah biar bisa tau apa apa aja yg terjadi atau pun mau lihat kualitas udara kaya gimana🙏🏻",4,2023-04-30 11:39:28
Prakiraan cuacanya untuk daerah saya di kalimantan tengah setiap hari 90% selalu meleset. Prakiraan hujan padahal cuaca panas sampai 33 derajat,1,2023-04-30 10:03:48
"Masih agak lambat update info gempanya, saya cek gempa yg terjadi di lokasi saya selisih waktu 15-20 menit baru muncul data.",4,2023-04-30 08:49:31
Sangat membantu untuk perkembangan pengetahuan kami masyarakat indonesia,5,2023-04-30 04:00:11
Ok,5,2023-04-29 20:37:28
Saya kasih bintang 4 dulu ya ...,4,2023-04-29 19:00:07
Informasi nya kurang lengkap lebih cepat dari Twitter daripada disini,2,2023-04-29 18:38:05
"Mohon tambahkan fitur fenomena astronomi, seperti gerhana dan meteor.",4,2023-04-29 16:55:34
Lbh baik kyk versi lama lbh mudah mencari cuaca wilayah perkelompok. Sekarang versi bikin pusing. Contok wilayah kota bukittinggi bisa melihat cuaca bagian wilayah bukittinggi yg laen nya.,1,2023-04-29 16:34:56
Saya suka,5,2023-04-29 15:58:18
"𝘮𝘢𝘯𝘵𝘢𝘱 𝘢𝘱𝘭𝘪𝘬𝘢𝘴𝘪𝘯𝘺𝘢 𝘉𝘔𝘒𝘎, 𝘵𝘪𝘥𝘢𝘬 𝘣𝘳𝘵𝘢𝘯𝘺𝘢𝘵𝘢𝘯𝘺𝘢 𝘥𝘪 𝘮𝘢𝘯𝘢 𝘬𝘦𝘫𝘢𝘥𝘪𝘢𝘯 𝘨𝘦𝘮𝘱𝘢𝘩 𝘥𝘢𝘯 𝘤𝘶𝘢𝘤𝘢 𝘵𝘦𝘳𝘱𝘢𝘯𝘵𝘢𝘶 𝘫𝘦𝘭𝘢𝘴",5,2023-04-29 13:57:16
Sangat membantu,5,2023-04-29 13:12:54
Okee,5,2023-04-29 13:09:28
Ok,5,2023-04-29 11:45:18
Menambah wawasan kita,5,2023-04-29 11:06:35
"Tidak ingin mendahului Allah S.W.T, Prakiraan Cuacanya hampir akurat",5,2023-04-29 11:05:49
sangat membantu sekali situasi daerah,5,2023-04-29 10:37:15
Sangat berguna untuk keamanan aktivitas out door,5,2023-04-29 09:48:41
Bagus sekali,5,2023-04-29 09:26:26
Nice..bmkg,5,2023-04-29 09:07:06
Saya merasa senang,5,2023-04-29 08:58:50
"BAGUS , LENGKAP , SANGAT TERBANTU",5,2023-04-29 08:20:47
sangat sangat membantu,5,2023-04-29 07:14:45
Akurat,5,2023-04-29 07:06:39
Sengat membantu untuk siaga,5,2023-04-29 06:33:17
Bagus,4,2023-04-29 05:55:21
Akut dan terpercaya 👍👍👍,5,2023-04-29 05:40:43
Menurut saya apk.nya bagus seperti yg saya inginkan,5,2023-04-29 04:48:59
Sangat membantu,5,2023-04-29 04:45:29
Mantap,5,2023-04-29 04:41:05
membantu kami info cuaca dan bencana,4,2023-04-29 04:32:43
Info yang update,5,2023-04-29 04:27:45
Aplikasi yg bagus,5,2023-04-29 04:21:51
Giood,5,2023-04-29 04:14:25
Good 👍,5,2023-04-29 04:11:23
Info sangat cepat,5,2023-04-29 03:57:37
Cukup bagus......,3,2023-04-29 02:07:29
aplikasi sangat membantu memperoleh berita² cuaca dan kondisi bumi terupdate.,5,2023-04-29 01:35:46
Bagus,5,2023-04-29 01:23:36
"Terima kasih BMKG saya sangat terbantu dgn adanya ini dan setiap saat dpt mengetahui dimana adanya gempa, dan selalu dpt Notovikasi",5,2023-04-29 01:21:19
Sangat membantu 👍👍👍,5,2023-04-28 23:42:19
Mantap,5,2023-04-28 22:57:55
Ok,5,2023-04-28 22:23:04
sangat membantu tentang informasi gempa dan cuaca,5,2023-04-28 22:10:02
Mantap,5,2023-04-28 21:46:54
Mantap,5,2023-04-28 21:12:21
Sangat membantu jika ada bencana alam,5,2023-04-28 21:05:16
Sangat membantu dalam beraktifitas,4,2023-04-28 20:46:52
Good job..... Terus ditingkatkan ya ..,5,2023-04-28 20:26:40
Sangat membantu sekali informasi aplikasi ini,5,2023-04-28 20:12:57
Aplikasi nya bagus dan valid 👍👍,5,2023-04-28 19:21:37
Membantu....,5,2023-04-28 19:17:34
Bagus,5,2023-04-28 19:01:38
Baguuuussss,5,2023-04-28 18:57:51
Informasi yang didapat jauh lebih cepat padat tepat akurat.Jadi rujukan tanpa ada kesimpangsiuran.,4,2023-04-28 18:48:52
Sangat membantu,5,2023-04-28 18:36:00
LumYan mendeteksi,5,2023-04-28 18:35:39
baik,5,2023-04-28 18:35:00
Saya blm mendapatkan info yg cepat,5,2023-04-28 18:28:11
MANTAAAP,5,2023-04-28 18:23:30
Karna aplikasi ini sa ngat penting bagi saya...🙏,5,2023-04-28 18:12:20
Ok,5,2023-04-28 17:48:01
"Info BMKG sangat membantu masyarakat terhadap kejadian gempa bumi, terutama titik lokasi dan kekuatan gempa. Terimakasih BMKG.",5,2023-04-28 17:47:30
Informasi yg baik,5,2023-04-28 17:44:12
"Sangat membantu dalam Mitigasi , khususnya kami di Lombok.",5,2023-04-28 17:36:55
Akurat,4,2023-04-28 17:36:37
Banyak manfaat,5,2023-04-28 17:33:17
Info nya sangat membantu,5,2023-04-28 17:33:13
mantap,5,2023-04-28 17:32:07
Oke,5,2023-04-28 17:15:13
Sangat bermanfaat,5,2023-04-28 17:05:58
👍,5,2023-04-28 17:04:09
Sangat membantu sekali,5,2023-04-28 17:01:35
Sangat membantu,5,2023-04-28 16:56:00
Sangat membantu,5,2023-04-28 16:55:49
"Saya lihat, infonya lengkap sih, yg sy cari dan butuhkan sudah ada dn tersedia jawabannya d dlm aplikasi.. terimakasih 🙏",5,2023-04-28 16:55:25
Mantap abis,5,2023-04-28 16:49:03
👍👍👍,5,2023-04-28 16:49:03
Sangat oke,5,2023-04-28 16:40:22
Ok,5,2023-04-28 16:31:25
Untuk kualitas dan aksesibilitas app informatif dan fresh Fiture,5,2023-04-27 23:23:43
Aplikasi nya lebih ditingkatkan lagi Kalau perlu datanya harus lebih akurat,5,2023-04-26 15:01:54
Sangat Membantu untuk mencari tahun lokasi terjadinya bencana,5,2023-04-26 10:17:58
APLIKASI TERBURUK PADAHAL SANGAT DI BUTUHKAN INFORMASI NYA TAPI TIDAK BISA TERUPDATE SUDAH 21 JAM LALU GEMPA MENTAWAI TAPI TIDAK BISA TERBARUI JUGA BIKIN EMOSI KALAU TIDAK BECUS DALAM MENYEDIAKAN LAYANAN UNTUK PUBLIK MENDING HAPUS SEKALIAN APLIKASI NYA 👎👎,1,2023-04-26 01:17:42
"Saya sarankan tambahan serene jika terjadi gempa berpotensi tsunami, itu sangat bagus sehingga masyarakat dapat melarikan diri ketempat yang lebih aman",5,2023-04-25 19:04:38
"info bikin bingung, pmberitahuan cuaca tak benar, kadang infonya akan turun hujan pd hal saat smpai waktunya berubah lagi, cuaca panas,, pemberitahuan cuaca tak perna jelas",1,2023-04-25 16:44:55
Sangat membantu sekali buat liat cuaca di daerah ku,5,2023-04-25 15:24:51
Not bad,5,2023-04-25 15:00:40
Setelah update sangat buruk peta kecil apaaan,1,2023-04-25 08:07:26
"Aplikasinya tidak bisa terbuka,kenapa sekarang begitu ya?",2,2023-04-25 05:08:04
Terimakasih APK BMKG Sangat membantu Kami Kususnya di daerah tepi laut yg sangat was-was adanya sunami sewaktu waktu akan adanya!!,5,2023-04-25 04:25:21
"Dulu Aplikasi Ini Memberi Informasi Berupa Pesan Kepada Pengguna Saat Ada Gempa, Tapi Sekarang Kok Tidak Ada Lagi? Min... Harap Buang Aja Ni Aplikasi Gak Ada Faedah, Masak Info Gempa Terbarunya 15 Hari Yg Lalu Di Tampilkan.",1,2023-04-25 03:48:08
Bru aja download tpi ga bsa buka apk nya...,1,2023-04-25 03:23:18
Sangat membantu,5,2023-04-25 03:18:31
"Makin kesini makin buruk, notifikasi sama riwayat gempa terbaru 10 hari yang lalu.",2,2023-04-25 03:15:17
Komporgas bagus,4,2023-04-24 21:39:17
Akurasi bagus,5,2023-04-24 15:33:40
Langsung bintang 5 saja ya boss ku,5,2023-04-23 17:22:16
Bagus kita bisa tau kalo gempa 🙂🙂🙂🙂🙂🙂🙂,5,2023-04-23 11:36:08
"Akan jauh lebih baik lagi jika memiliki Widget yang dapat disimpan di homescreen, mohon kerjasamanya 🙏",4,2023-04-23 05:37:41
Bagus sangat membantu,5,2023-04-20 00:04:57
"Versi update nya tidak kaya yang dulu bisa menampilkan menu tambahan seperti skala MMI dll,jadi pada akhirnya simpel tapi malah ribet",3,2023-04-17 18:56:13
"Sekarang gak ada titik lokasi saya, yang ada cuma titik lokasi gempa saja, dan kalau ada notif diklik gak bisa masuk aplikasi, tolong diatasi segera",1,2023-04-17 18:12:48
Lagi Test dulu kalau akurat gue naik bintang nya,4,2023-04-16 04:29:07
Bagus,5,2023-04-15 22:26:55
Semoga sesuai,4,2023-04-15 22:20:45
Setelah di Update g bisa dibuka,5,2023-04-15 19:13:25
Sangat membantu,5,2023-04-15 16:11:18
ini apk nya sangat berguna kalau untuk aku,5,2023-04-15 12:28:41
Bagus saya suka👍🏻,5,2023-04-15 12:16:50
Aplikasi info BMKG sangat berguna untuk mengetahui prakiraan cuaca dan gempa bumi yang terjadi di Indonesia,5,2023-04-15 05:17:16
Oke,5,2023-04-14 21:26:23
Wau informasi yg keren dan terpercaya,5,2023-04-14 19:54:59
Sangat bgs.,5,2023-04-14 18:59:22
Sangat bagus,5,2023-04-14 18:09:44
Sangat membantu dalam informasi cuaca,5,2023-04-14 17:59:13
Mantul,5,2023-04-14 17:54:30
Sekarang tidak bisa melihat sekala mmi daerah daerah yg merasakan gempa. Aplikasinya di update malah jadi berantakan nggak karuan. Notifikasinya diklik juga nggak mau masuk ke aplikasinya. Yang penting impormasinya jangan tampilannya.,1,2023-04-14 17:50:56
Info cepat...👍👍,5,2023-04-14 17:41:02
Fast respon kek,1,2023-04-14 17:18:56
sangat bermanfaat,5,2023-04-14 17:14:47
"Ini gatau emang hp sy yang kurang tepat atau gimana. Tapi yang sy rasakan setelah ada gempa pasti tidak ada notif yang muncul, buka menu aplikasinya juga tetep nggak ada pembaruan. Sy kira karna masih beberapa detik/menit yang lalu. Tapi ditungguin lama sampe 10 menit ga masuk-masuk. Hmmmm",4,2023-04-14 17:14:32
Sangat membantu sekali,5,2023-04-14 17:13:44
"Bagus. Tapi maaf saya salah survey karena baru pertama kali mengunduh, untuk survey gempa hari ini🙏🙏",5,2023-04-14 17:13:14
Kurang update,1,2023-04-14 17:09:54
Tambah jlek ngk akurat kebayakan di perbarui.. mending versi lamanya no problem,1,2023-04-14 17:08:31
Ok,5,2023-04-14 17:05:22
Bug tampilan gempa terpotong setengah layar,3,2023-04-14 17:04:44
Notifikasi lambat. Tolong ditambah fitur aduan bencana. Jadi masyarakat yang merasakan bisa secepatnya memberikan aduan apa yang terjadi di tempat,2,2023-04-14 17:03:35
Ok,5,2023-04-12 08:59:07
Ramadhan,5,2023-04-11 06:42:36
"Aplikasi asw, tdk update gempa terbaru, setan",1,2023-04-11 01:07:24
Bitang 3 sja. Soalnnya tampilan petanya malah jelek di versi baru ini.,3,2023-04-11 00:44:29
Terima kasih,5,2023-04-10 19:17:15
Bagus,5,2023-04-10 13:34:20
Mantab...,5,2023-04-07 20:32:15
Terima kasih atas infonya 👍👍👍,5,2023-04-07 20:10:29
Ok,5,2023-04-07 02:32:37
Aplikasi yang berguna menjadikan saya lebih tau cuaca dan kondisi alam sekitar dengan lebih update,5,2023-04-06 21:36:20
Sangat bagus,5,2023-04-04 23:24:34
Akurat terpercaya,5,2023-04-04 06:26:13
No coment,5,2023-04-03 23:09:13
Ok,5,2023-04-03 23:03:06
ok app,5,2023-04-03 22:33:41
"Bagus,berita akurat dan propesional",5,2023-04-03 22:07:16
Bagus klu masalah gempa,5,2023-04-02 17:21:16
Oke,1,2023-03-30 22:02:08
"Gambar/Peta/Grafis, lebih bagus yg sebelumya.",4,2023-03-30 20:20:19
"Sebenernya lebih bagusan abdetan yg utama lhih real,klo yg sekarang malah membagongkan,lain di lihat malah yg keluar negara2 yg kena gempa.🤔🤔🤔",4,2023-03-30 11:45:47
Is the best,5,2023-03-30 03:42:12
"Bagus, hny knp skrg tidak bisa kirim survey untuk gempa nya ya? Sering eror",4,2023-03-30 03:18:18
Tidak akurat,1,2023-03-30 01:35:49
Tambah jelek aja apk ini dulu waktu gempa ada notifikasi pemberitahuan yang keluar dalam 7 menit atau pemberitahuan gempat berbaru langsung keluar dalam 7 menit atau 10 menit sekarang lama sekali sekitar 20 menit dan juga notifkasi enggak ada sumpah apk sampah lama-lama,1,2023-03-30 01:33:35
eh di daerah saya gempa lumayan besar udah serangan jam blum ada informasi dari Anda ga ngerti gua fungsi aplikasi ini buat apa,1,2023-03-30 01:27:34
sngat berarti,5,2023-03-29 13:30:51
"Bukan ga update softwarenya, tapi informasinya ga up to date",3,2023-03-29 12:37:19
Gabut,5,2023-03-28 18:23:08
Membantu untuk info gempa,5,2023-03-27 18:08:07
Ngak akurat.setelah gempa terjadi ngak ada laporanya sama sekali,1,2023-03-26 06:00:49
"Apk ini sangat bagus, sya menyukainya karena kebenaran informasinya hampir 75%..",4,2023-03-26 05:33:32
"Sangat membantu, tapi ada juga terkadang telat infonya.",5,2023-03-26 00:58:37
Anjinkkkk,1,2023-03-25 16:13:07
Ok,4,2023-03-25 15:18:29
Good,5,2023-03-23 12:06:14
Thank you👍👍👍,5,2023-03-23 03:45:25
"Bagus, info gempa lumayan akurat, sangat update.",5,2023-03-22 15:52:45
Sangat membantu sekali👌👍👍👍👍👍👍,5,2023-03-21 12:52:55
Crash di android 13. Mendapat notifikasi untuk di no aktifkan oleh system android karena terlalu sering Crash. Mohon diperbaiki. Review akan di edit setelah masalah selesai Update 3.1.2 android 13 sudah tidak crash notifikasi.,5,2023-03-21 12:02:49
kenapa gak ada notif saat gempa ya?,3,2023-03-20 08:57:48
Wah saya senang sekali karena BMKG sosialisasi ke sekolah saya.,5,2023-03-20 08:42:50
Sudah lumayan bagus aplikasinya,5,2023-03-19 10:06:46
Jelas,5,2023-03-18 00:19:09
"Bagus sih cuma kalau bisa notif gempa yg muncul di hp itu yg terjadi didaerah sekitar aja, misal yg tinggal didaerah Sumatera yaa notif gempa yg muncul hanya yg bagian sumatera juga, jadinya gak numpuk sehari bejibun notifikasi ujung2nya malah gak dibaca.",4,2023-03-17 20:41:46
Bagus informatif,5,2023-03-17 19:56:37
Good,5,2023-03-17 19:40:40
Ada gempaaa,4,2023-03-17 19:15:42
"pembaruan makin jelek, teks menutupi peta & teks tidak bisa di tutup manual sangat tidak nyaman",4,2023-03-17 19:13:04
Gak bisa masuk menu,1,2023-03-17 19:12:09
Sangat membantu,4,2023-03-16 18:08:50
Perkiraan cerah pdahal di kecatan saya hujan anggin mlesettt bmkg ne sek krng canggih alate,1,2023-03-16 14:38:13
Hooh tenan,5,2023-03-15 22:55:54
"Dear developer, sekarang sudah tahun 2023, masih belum ada niatkah untuk menambahkan widget, demi memudahkan para pengguna, seperti pada aplikasi - aplikasi cuaca yang lain???",1,2023-03-15 16:08:25
"Luar biasa, hebat and good",5,2023-03-12 04:02:21
Good,5,2023-03-11 19:40:10
Ok,5,2023-03-11 05:45:56
Boleh juga,5,2023-03-10 17:15:05
Good,5,2023-03-10 07:11:59
Bagus,5,2023-03-08 18:24:55
"mohon ditambah widget cuaca, terima kasih.",4,2023-03-07 17:13:47
Sangat berguna informasinya,5,2023-03-07 14:45:54
😨😰,5,2023-03-06 23:47:56
Sangat membantu,4,2023-03-06 23:04:37
Posisi GPS tidak akurat alamat tempat sy TDK di temukan,1,2023-03-06 20:04:11
Exelent,5,2023-03-06 00:21:12
Baik,5,2023-03-05 21:16:11
Semoga dgn adax aplikasi ini mengingatkan kita untk senantiasa wapada,4,2023-03-05 19:31:00
Baguus terimakasih,4,2023-03-05 01:25:26
Sangat penting dalam memberikan informasi tersebut,5,2023-03-05 00:44:01
"Versi sekarang sudah lebih baik dari sebelumnya, informatif dan ui yang mudah dimegerti",5,2023-03-04 15:33:12
Goddd,5,2023-03-03 17:17:59
Mantpppp,5,2023-03-03 14:25:23
Coba dulu,5,2023-03-03 03:53:35
"Sudah bagus... Tambahin widget dong pliss...soalnya aplikasinya udah bagus banget,minimal widget cuaca atau apa lah gtu... Ayolah tambahin widget",4,2023-03-03 01:49:44
Ok,5,2023-03-03 00:31:46
Ok,5,2023-03-02 19:32:05
Badan Meteorologi Klimatologi dan Geofisika is the best,5,2023-03-02 11:19:28
"Info BMKG sangat penting utk memperoleh informasi terkini, terupdate dan terpercaya.",5,2023-03-02 07:41:49
Sangat membantu,5,2023-03-01 23:27:14
Lumayan...,4,2023-03-01 20:50:57
"Sudah bagus. Tetapi akan lebih bagus lagi kalau notifikasinya tepat waktu, tidak terlambat, karena seringnya terlambat lebih dari 30 menit",5,2023-03-01 20:36:06
Sangatlah penting bagi kamu menerima semuanya informasi,5,2023-03-01 19:44:53
Kamu ingat. Tau gempa jokja hari ini wilayah nama,5,2023-03-01 19:40:07
Aplikasi nya Bagus Banget Dan Membantu Mengetahui Informasi Bencana Alam Yang Terjadi,5,2023-03-01 19:10:55
Sangat membantu sekali,5,2023-03-01 18:45:22
Coba dulu,1,2023-03-01 13:40:07
Di lht dengan jelas,5,2023-03-01 07:18:45
Sangat membantu,5,2023-03-01 02:48:14
Terima ksh dgn info aplikasi ini saya jd tau seberapa jauh lokasi sy dgn lokasi kejadian smoga akurat,5,2023-03-01 01:27:32
Gas,5,2023-02-28 22:12:31
Trims,5,2023-02-28 21:52:47
Good 👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼,5,2023-02-28 21:46:32
👍 👍 👍,5,2023-02-28 20:43:02
berita terupdate,5,2023-02-28 20:31:37
bagus bngttt,5,2023-02-28 20:27:05
Data up to date,5,2023-02-28 13:31:39
"Info BMKG, sangat membantu keseharian kita sebagai pekerja lapangan....., terima kasih BMKG....semangat dan sukses kedepan....👌👍🤓",5,2023-02-28 13:01:08
Baik,5,2023-02-28 11:18:09
"Kurang update kalau soal cuaca, tapi kalau masalah gempa cepat update, bagusan nama nya jadi INFO GEMPA.",3,2023-02-28 01:06:22
Bagus,5,2023-02-27 23:59:58
Membantu,5,2023-02-27 21:48:06
Sedia BMKG sebelum hujan,4,2023-02-27 16:06:45
Mantap,5,2023-02-27 15:16:14
Aplikasi ini membantu kami utk melihat cuaca.,5,2023-02-27 14:00:50
Sangat membantu,5,2023-02-27 13:54:33
Bagus,5,2023-02-27 13:03:21
"info cuacanya sangat akurat, sangat membantu bagi kami yang bertugas di lapangan",5,2023-02-27 12:48:24
ok u free to do,1,2023-02-27 11:33:26
Apk nya bagus tapi dampak nya perbanyak lagi soalnya cmn 2 masi ada dampak lain bukan cmn banjir sama longsor bisa saja angin puting beliung,5,2023-02-27 10:47:13
Baru coba.kalau Bagus ful bintang.,4,2023-02-27 09:23:01
"Terimakasih, semoga menjadi wasilah untuk selalu siaga",5,2023-02-27 08:38:40
bagus,5,2023-02-27 08:31:55
👍,5,2023-02-27 08:30:26
Oke,5,2023-02-27 07:39:24
Sangat bermanfaat,5,2023-02-27 06:07:24
"Kalau ada gempa ada notifikasi itu normal, atapi yang bikin bingung pals lagi ujan keterangannya ⛅ sampai ☀",1,2023-02-27 05:58:04
