Komentar,Bintang,Tanggal,clean_text,Sentimen,Aspek_Terdeteksi,Confidence_Score
"Aplikasi sangat bagus, cukup akurat.",4,2023-11-03 14:50:53,aplikasi sangat bagus cukup akurat,Positif,UI/UX,0.9093723297119141
Aplikasi hoax bilang dari jam 13:00 hujan ringan tapi panas terik sampai sore lebih bagusan apk sebelah...,1,2023-11-03 14:37:17,aplikasi hoax bilang dari jam 13 00 hujan ringan tapi panas terik sampai sore lebih bagusan apk sebelah,Negatif,UI/UX,0.9751420021057129
Terimakasih apk info BMKG 🙏🙏🙏,5,2023-11-03 13:31:19,terimakasih apk info bmkg,Positif,Akurasi,0.5517373085021973
Info bmkg di update,5,2023-10-31 23:37:16,info bmkg di update,Positif,Akurasi,0.6496356129646301
"Jelek banget skrng. Kalo ada gempa ga langsung terdeteksi, udh aku refresh smpe 10 menit tpi blum terdeteksi juga hmm",1,2023-10-31 04:57:31,jelek banget skrng kalo ada gempa ga langsung terdeteksi udh aku refresh smpe 10 menit tpi blum terdeteksi juga hmm,Negatif,Akurasi,0.561758279800415
Sangat luar biasa. Terimakasih,5,2023-10-30 12:27:27,sangat luar biasa terimakasih,Positif,Performa,0.394253134727478
Manta pakai lihat informasi untuk waspada,5,2023-10-28 22:20:23,manta pakai lihat informasi untuk waspada,Positif,UI/UX,0.6023025512695312
Kenapa tak ada peringatan dini cuaca hujan angin di solo kemarin???,2,2023-10-27 10:00:09,kenapa tak ada peringatan dini cuaca hujan angin di solo kemarin,Negatif,Performa,0.583993673324585
"Code eror sistem fielead.,.croum groum groum server isit fribadilisiensensft.,.",3,2023-10-27 07:18:46,code eror sistem fielead croum groum groum server isit fribadilisiensensft,Netral,Performa,0.9660113453865051
Kalau ditambahin cctv setap wilayah tambah bgus min.,2,2023-10-27 06:20:56,kalau ditambahin cctv setap wilayah tambah bgus min,Negatif,Akurasi,0.695946455001831
"UI aplikasi bagus, simple to the point... Berharap bisa ada mode gelap...",5,2023-10-25 17:53:26,ui aplikasi bagus simple to the point berharap bisa ada mode gelap,Positif,UI/UX,0.9936936497688293
Semoga kedepan lebih dikembangkan lagi masyarakat membutuhkan aplikasi perubahan cuaca yang real time,5,2023-10-25 13:57:28,semoga kedepan lebih dikembangkan lagi masyarakat membutuhkan aplikasi perubahan cuaca yang real time,Positif,Akurasi,0.5632315874099731
Gak akurat sama sekali,1,2023-10-25 00:56:07,gak akurat sama sekali,Negatif,Performa,0.4644547998905182
Sangat berguna bagi.,4,2023-10-24 18:51:29,sangat berguna bagi,Positif,UI/UX,0.4465690851211548
Dengan tampilan baru Aplikasi sekarang kalo dibuka malah lambat.,1,2023-10-22 21:48:15,dengan tampilan baru aplikasi sekarang kalo dibuka malah lambat,Negatif,Performa,0.8212199807167053
"App ini sangat bermanfaat khususnya masyarakat Indonesia yg memiliki saudara di berbagai pelosok Indonesia, kita juga dpt memantau kualitas udara terupdate... Serta berbagai kejadian alam yang mungkin baru saja terjadi sehingga kita dpt saling sharing dr sumber yg terpercaya..karena BMKG didalamnya adala tenaga2 profesional yg sudah berpengalaman.. sehingga dpt mengambil tindakan2 evakuasi yang tepat bagi masyarakatnya..",5,2023-10-22 18:25:16,app ini sangat bermanfaat khususnya masyarakat indonesia yg memiliki saudara di berbagai pelosok indonesia kita juga dpt memantau kualitas udara terupdate serta berbagai kejadian alam yang mungkin baru saja terjadi sehingga kita dpt saling sharing dr sumber yg terpercaya karena bmkg didalamnya adala tenaga2 profesional yg sudah berpengalaman sehingga dpt mengambil tindakan2 evakuasi yang tepat bagi masyarakatnya,Positif,UI/UX,0.6757088303565979
"Lokasi Kecamatan diperbaiki yaitu Kec.Batang, Kab.Batang.",1,2023-10-22 09:03:37,lokasi kecamatan diperbaiki yaitu kec batang kab batang,Negatif,Akurasi,0.5841534733772278
Baik sekali,5,2023-10-21 20:22:57,baik sekali,Positif,UI/UX,0.4327412545681
"Dear team, Mohon untuk informasi cuacanya bisa di jadikan widget di HP,, tks",5,2023-10-21 13:11:02,dear team mohon untuk informasi cuacanya bisa di jadikan widget di hp tks,Positif,UI/UX,0.4242197871208191
Menambah informasi,4,2023-10-20 11:50:59,menambah informasi,Positif,UI/UX,0.4068162739276886
"Skrg makin update, makin telat infonya. KNP ya?",4,2023-10-19 21:31:30,skrg makin update makin telat infonya knp ya,Positif,Performa,0.8825094103813171
Loding nya lama,3,2023-10-19 21:12:14,loding nya lama,Netral,Performa,0.9273462891578674
"Kurang akurat, Makanya saya pakai aplikasi luar ngecek pergerakan awan & hujan live lgi... 90 % akurat",2,2023-10-19 14:36:05,kurang akurat makanya saya pakai aplikasi luar ngecek pergerakan awan hujan live lgi 90 akurat,Negatif,Akurasi,0.9655444025993347
aplikasi ini tidak akurat jauh..... malah berbanding terbalik untuk prediksi cuaca...,2,2023-10-18 15:01:18,aplikasi ini tidak akurat jauh malah berbanding terbalik untuk prediksi cuaca,Negatif,UI/UX,0.6525406837463379
Ani,5,2023-10-13 18:07:42,ani,Positif,UI/UX,0.446125328540802
Cukup Bagus,5,2023-10-12 19:51:31,cukup bagus,Positif,Akurasi,0.3735089600086212
"Tampilan UI emang bagus, tapi overall aplikasi jadi lama dibuka, loadingnya lama pdhl kita butuh notifikasi cepat kalau terjadi bencana disekitar kita. Saya lebih suka versi lama.",3,2023-10-11 12:50:41,tampilan ui emang bagus tapi overall aplikasi jadi lama dibuka loadingnya lama pdhl kita butuh notifikasi cepat kalau terjadi bencana disekitar kita saya lebih suka versi lama,Netral,Performa,0.8772015571594238
Ada opsi kirim survey gempa tp gk bisa kirim survey . Gak jelas.!,3,2023-10-11 09:47:56,ada opsi kirim survey gempa tp gk bisa kirim survey gak jelas,Netral,Akurasi,0.543153703212738
"Padahal tadi malam sekitar pukul 23:30 ada guncangan di wilayah kabupaten malang.dan getarannya sekitar +- 5 SR.Setelah di cek di apk BMKG,kenapa pusat titik gempa ada di wilayah sulawesi?... Pagi aku cek kembali di apk BMKG,eh malah di sebelah negara timor leste pusat titik gempanya... kan aneh....",3,2023-10-11 09:33:41,padahal tadi malam sekitar pukul 23 30 ada guncangan di wilayah kabupaten malang dan getarannya sekitar 5 sr setelah di cek di apk bmkg kenapa pusat titik gempa ada di wilayah sulawesi pagi aku cek kembali di apk bmkg eh malah di sebelah negara timor leste pusat titik gempanya kan aneh,Netral,UI/UX,0.7913624048233032
Update hasil kejadian gempa lama sekali ya... Tolong diperbaiki agar lebih cepat jarak kejadian dan laporan terjadinya gempa,2,2023-10-10 23:52:23,update hasil kejadian gempa lama sekali ya tolong diperbaiki agar lebih cepat jarak kejadian dan laporan terjadinya gempa,Negatif,Performa,0.8973199725151062
Kita mainkan aplikasi nya di,5,2023-10-10 16:57:44,kita mainkan aplikasi nya di,Positif,UI/UX,0.9922082424163818
Bisa tahu informasi ttg BMKG,5,2023-10-10 15:25:00,bisa tahu informasi ttg bmkg,Positif,Akurasi,0.923094630241394
Ga guna ih gajelas lu mah ngramal cuaca kek dukuun aje ujung ujungnya juga gabakalan kejadi lu tulull males gua dowmload Ga rekomenddddd cuy,1,2023-10-08 12:56:28,ga guna ih gajelas lu mah ngramal cuaca kek dukuun aje ujung ujungnya juga gabakalan kejadi lu tulull males gua dowmload ga rekomenddddd cuy,Negatif,Performa,0.9921301007270813
Tolong tambahkan fitur pasang surut air laut smntra bintang 3,3,2023-10-07 10:13:16,tolong tambahkan fitur pasang surut air laut smntra bintang 3,Netral,Akurasi,0.7818112969398499
"Info na lengkap, hatur nuhun pisan BMKG sagala info na ❤",5,2023-10-06 22:30:31,info na lengkap hatur nuhun pisan bmkg sagala info na,Positif,UI/UX,0.4832017123699188
Dalam waktu dekat Jangan meningalkan rumah mungkin akan terjadi sesuatu. 1.37 10 23,5,2023-10-05 13:36:07,dalam waktu dekat jangan meningalkan rumah mungkin akan terjadi sesuatu 1 37 10 23,Positif,Performa,0.37160924077033997
"Tampilan terlalu simpel, untuk informasi hanya yang disediakan sistem saja, tidak bisa memilih kota mana yang mau dilihat. Seperti kualitas udara, untuk memilih dan melihat kualitas udara kota domisili saja tidak bisa. Hanya yang ditampilkan sistem saja. BMKG sudah bayar mahal-mahal, baiknya lebih ditingkatkan lagi tampilan dan informasi yang bisa ditampilkan agar bisa dipilih pengguna.",2,2023-10-03 06:57:09,tampilan terlalu simpel untuk informasi hanya yang disediakan sistem saja tidak bisa memilih kota mana yang mau dilihat seperti kualitas udara untuk memilih dan melihat kualitas udara kota domisili saja tidak bisa hanya yang ditampilkan sistem saja bmkg sudah bayar mahal mahal baiknya lebih ditingkatkan lagi tampilan dan informasi yang bisa ditampilkan agar bisa dipilih pengguna,Negatif,Akurasi,0.4670296311378479
Prakiraan cuaca tidak akurat sekali,1,2023-10-02 16:22:34,prakiraan cuaca tidak akurat sekali,Negatif,Akurasi,0.4621921181678772
Sangat akurat,5,2023-10-02 08:46:08,sangat akurat,Positif,UI/UX,0.5535319447517395
Lumayan bagus dari versi sebelumnya,4,2023-10-01 11:50:23,lumayan bagus dari versi sebelumnya,Positif,Performa,0.33521467447280884
Rawr,5,2023-10-01 11:29:28,rawr,Positif,UI/UX,0.37956392765045166
Ok banget info akurat dan cepat,5,2023-10-01 11:16:03,ok banget info akurat dan cepat,Positif,UI/UX,0.5700508952140808
Trai dulu guys moga2 bermamfaat jadi yg terbaik Klaw nggak bagus sy buang ke tong sampah aja,3,2023-09-28 14:32:08,trai dulu guys moga2 bermamfaat jadi yg terbaik klaw nggak bagus sy buang ke tong sampah aja,Netral,Performa,0.36589697003364563
"di layar hp cuma setengah halaman, gak full dan juga pemberitahuan gempa bisa berulang kali padahal cuma terjadi gempa 1x",3,2023-09-27 01:02:50,di layar hp cuma setengah halaman gak full dan juga pemberitahuan gempa bisa berulang kali padahal cuma terjadi gempa 1x,Netral,Akurasi,0.735877513885498
"Apa yang bisa diharapkan dari kinerja pemerintah, untuk info ke masyarakat saja seperti ini, payah bener",1,2023-09-26 19:47:42,apa yang bisa diharapkan dari kinerja pemerintah untuk info ke masyarakat saja seperti ini payah bener,Negatif,Performa,0.8934735059738159
mantap markotop,5,2023-09-26 18:43:21,mantap markotop,Positif,Akurasi,0.5576791763305664
Tambah informasi durasi gempanya berapa lama. Terimakasih,4,2023-09-26 08:46:22,tambah informasi durasi gempanya berapa lama terimakasih,Positif,Akurasi,0.4409136474132538
Bagus bisa mendeteksi sebuah bencana.,4,2023-09-23 13:59:29,bagus bisa mendeteksi sebuah bencana,Positif,UI/UX,0.4629403054714203
"Fitur yang di kasih sudah bagus dan sangat bermanfaat, terutama pas terjadi gempa di wilayah-wilayah tertentu.. sayangnya untuk suhu/cuaca ga begitu akurat.. Di apk bmkg suhu 25-24 derajat, sedangkan bawaan google suhu 20-16 derajat.. pada waktu jam 1 sampai 6 pagi, dan yang saya rasakan di tempat saya memang dingin.. cuaca.. tertulis jam sekian hujan dengan intensitas tinggi, tapi tidak hujan-hujan dalam sehari tersebut, Tolong di perbaiki lagi keakuratan nya.. terimaksih",4,2023-09-22 01:54:12,fitur yang di kasih sudah bagus dan sangat bermanfaat terutama pas terjadi gempa di wilayah wilayah tertentu sayangnya untuk suhu cuaca ga begitu akurat di apk bmkg suhu 25 24 derajat sedangkan bawaan google suhu 20 16 derajat pada waktu jam 1 sampai 6 pagi dan yang saya rasakan di tempat saya memang dingin cuaca tertulis jam sekian hujan dengan intensitas tinggi tapi tidak hujan hujan dalam sehari tersebut tolong di perbaiki lagi keakuratan nya terimaksih,Positif,Akurasi,0.6999804973602295
BMKG tolong dong bikin waktu jam dari sabang - merauke. Masa semua nya sama sih ngikutin wkt jam JAKARTA gak sesuai dengan wkt jam daerah nya masing masing gak seperti dulu saya kecil sebelum ada jam hp jam setiap daerah berbedah beda🙏,4,2023-09-21 11:53:30,bmkg tolong dong bikin waktu jam dari sabang merauke masa semua nya sama sih ngikutin wkt jam jakarta gak sesuai dengan wkt jam daerah nya masing masing gak seperti dulu saya kecil sebelum ada jam hp jam setiap daerah berbedah beda,Positif,Akurasi,0.4938385486602783
Sangat cocok untuk Anda yang mau ikut di kantor gubernur yg ada pada dirinya r,5,2023-09-20 21:16:12,sangat cocok untuk anda yang mau ikut di kantor gubernur yg ada pada dirinya r,Positif,Performa,0.49451011419296265
mudahan ake,5,2023-09-20 16:28:41,mudahan ake,Positif,UI/UX,0.3835020661354065
Terimakasih ini sangat membantu mengetahui informasi,5,2023-09-19 22:36:28,terimakasih ini sangat membantu mengetahui informasi,Positif,Performa,0.4986579418182373
Terima kasih atas perhatiannya dan bantuan nya🙏,5,2023-09-19 19:40:24,terima kasih atas perhatiannya dan bantuan nya,Positif,UI/UX,0.3691255748271942
Untuk saya lebih senang yang ada gambar lokasi gempa yang lebih jelas,4,2023-09-15 19:54:06,untuk saya lebih senang yang ada gambar lokasi gempa yang lebih jelas,Positif,Performa,0.6530749797821045
Kurang inovasi,1,2023-09-14 15:51:02,kurang inovasi,Negatif,Performa,0.6024174690246582
"Gak akurat, fitur minim, tidak punya widget.",1,2023-09-12 22:53:10,gak akurat fitur minim tidak punya widget,Negatif,UI/UX,0.5429155826568604
Alhamdulillah sangat bermanfaat terutama untuk saya warga cianjur karena masih sering terjadi gempa kecil. Mungkin bisa di perbaiki dan updat kembali kemajuan aplikasi BMKG agar lebih maju dan canggih... semangat BMKG,5,2023-09-12 15:46:49,alhamdulillah sangat bermanfaat terutama untuk saya warga cianjur karena masih sering terjadi gempa kecil mungkin bisa di perbaiki dan updat kembali kemajuan aplikasi bmkg agar lebih maju dan canggih semangat bmkg,Positif,Performa,0.4575962722301483
Mantap 👍👍👍,5,2023-09-12 14:37:34,mantap,Positif,UI/UX,0.41766366362571716
Lumayan,4,2023-09-12 12:11:53,lumayan,Positif,UI/UX,0.40783002972602844
"Masih ada bug terkait notifikasi, user mendapatkan notifikasi gempa 2-3x dengan gempa yang sama. Mohon segera di perbaiki ya, dikarnakan saya risih mendapatkan notifikasi yg sama berulang kali dan memenuhi notif bar saya, jika gempa menurut saya notifikasi cukup 1x dan jika bisa dengan vibrasi on dan pop-up karna peringatan gempa adalah mandatory di awal bukan reminder notifikasi",3,2023-09-12 09:38:08,masih ada bug terkait notifikasi user mendapatkan notifikasi gempa 2 3x dengan gempa yang sama mohon segera di perbaiki ya dikarnakan saya risih mendapatkan notifikasi yg sama berulang kali dan memenuhi notif bar saya jika gempa menurut saya notifikasi cukup 1x dan jika bisa dengan vibrasi on dan pop up karna peringatan gempa adalah mandatory di awal bukan reminder notifikasi,Netral,Akurasi,0.36839646100997925
Sistem informasi canggih,5,2023-09-11 18:50:09,sistem informasi canggih,Positif,UI/UX,0.6593270301818848
Semoga slalu di tingkatkan👍 Informasi semakin cepat dan akurat👍 Sangat bermanfaat👍,5,2023-09-09 23:34:10,semoga slalu di tingkatkan informasi semakin cepat dan akurat sangat bermanfaat,Positif,UI/UX,0.6653115749359131
Sangat baik dan membantu 👍👍,5,2023-09-09 22:29:33,sangat baik dan membantu,Positif,UI/UX,0.3821747303009033
"Untuk pengiriman pesan gempa itu telat 3-5 menit setelah getaran berlangsung, lebih baik untuk aplikasinya agar mengirimkan pesan tepat waktu atau real time.",3,2023-09-09 21:53:08,untuk pengiriman pesan gempa itu telat 3 5 menit setelah getaran berlangsung lebih baik untuk aplikasinya agar mengirimkan pesan tepat waktu atau real time,Netral,Akurasi,0.6622647643089294
SAYA SETUJUH DENGAN POSTINGAN INI TERIMA KASIH,5,2023-09-09 21:45:42,saya setujuh dengan postingan ini terima kasih,Positif,UI/UX,0.3679320216178894
Mohon perbaiki lagi notifikasi ramalan hujan 1x24jam karena perbedaan letak geografis permukaan bumi.,2,2023-09-09 13:07:24,mohon perbaiki lagi notifikasi ramalan hujan 1x24jam karena perbedaan letak geografis permukaan bumi,Negatif,UI/UX,0.46726128458976746
"Sayangnya gak ada tinggi gelombang laut ,pasang surut air laut ,tolong di tambah informasi lain seperti di atas agar lengkap",4,2023-09-07 01:25:31,sayangnya gak ada tinggi gelombang laut pasang surut air laut tolong di tambah informasi lain seperti di atas agar lengkap,Positif,Akurasi,0.6453209519386292
Sangat membantu untuk melaut,5,2023-09-06 14:23:30,sangat membantu untuk melaut,Positif,UI/UX,0.38541391491889954
Di coba baik nga baiknya,5,2023-09-06 09:48:33,di coba baik nga baiknya,Positif,UI/UX,0.3919277489185333
Kadang gempa bumi di Tanah laut yg terjadi di laut tidak di up load,5,2023-09-04 11:45:38,kadang gempa bumi di tanah laut yg terjadi di laut tidak di up load,Positif,Performa,0.8426283597946167
"asli parah banget, tampilannya lebih gak tersruktur, bikin bingung, gak sperti dulu!",1,2023-09-02 20:09:10,asli parah banget tampilannya lebih gak tersruktur bikin bingung gak sperti dulu,Negatif,Performa,0.6686328053474426
Bagus sekali..sangat membantu,5,2023-09-01 18:52:52,bagus sekali sangat membantu,Positif,UI/UX,0.39575937390327454
Bagus untung ada aplikasi ini saya merasa aman🖒🖒🖒🖒👍👍👍👍👍👍👍👍👍👍👍,5,2023-09-01 14:08:08,bagus untung ada aplikasi ini saya merasa aman,Positif,UI/UX,0.8368039131164551
aplikasinya sangat membantu...,5,2023-08-31 02:34:14,aplikasinya sangat membantu,Positif,UI/UX,0.9822580814361572
"Sering CRASH min, dananya kan banyak, tolong diperbaiki 🙏",3,2023-08-30 18:08:53,sering crash min dananya kan banyak tolong diperbaiki,Netral,Performa,0.6190639138221741
"kalau ada notif, diklik gak kebuka aplikasinya",2,2023-08-30 09:24:15,kalau ada notif diklik gak kebuka aplikasinya,Negatif,UI/UX,0.8589831590652466
"sangat membantu, gua kewaspadaan",5,2023-08-30 07:51:03,sangat membantu gua kewaspadaan,Positif,Akurasi,0.5811532735824585
"Aplikasi bmkg yg baru jadi parah notif bencana atau cuaca ga muncul, dan lokasi gps tidak akurat. Mendingan yg waktu dulu ada gempa langsung ada notifikasi",1,2023-08-30 00:15:58,aplikasi bmkg yg baru jadi parah notif bencana atau cuaca ga muncul dan lokasi gps tidak akurat mendingan yg waktu dulu ada gempa langsung ada notifikasi,Negatif,UI/UX,0.7064560055732727
"Update kurang akurat, karenanya tadi ada gempa yg pusatnya di Lombok Utara, yg di datanya malah tanah bambu, pusatnya aja di Lombok Utara.",2,2023-08-29 17:52:27,update kurang akurat karenanya tadi ada gempa yg pusatnya di lombok utara yg di datanya malah tanah bambu pusatnya aja di lombok utara,Negatif,Performa,0.6215198040008545
Sangat membantu..!,5,2023-08-29 08:44:15,sangat membantu,Positif,UI/UX,0.4567878246307373
Jempol dah Abis,4,2023-08-29 04:39:40,jempol dah abis,Positif,Performa,0.4046002924442291
Ok.,5,2023-08-29 03:32:18,ok,Positif,UI/UX,0.3781708776950836
"Sangat lambat memberi informasi, lebih suka versi dulu lebih top",1,2023-08-29 03:31:12,sangat lambat memberi informasi lebih suka versi dulu lebih top,Negatif,Performa,0.9314020276069641
Lambat,5,2023-08-29 03:27:08,lambat,Positif,Performa,0.4752945899963379
Lebih bagus yang lama,1,2023-08-29 03:26:18,lebih bagus yang lama,Negatif,Akurasi,0.3469206392765045
Saran buatlah notifikasi alaram peringatan agar lebih mudah ketika ada gempa susulan,5,2023-08-29 03:26:02,saran buatlah notifikasi alaram peringatan agar lebih mudah ketika ada gempa susulan,Positif,Akurasi,0.862259566783905
"Weh bapak bmkg ini kenap di saya pemberitauan lokasi titik gemoa nya salah, di sya kalsel yg ada gemoa, sedang d twitter kalian denpasar gmna ini",2,2023-08-29 03:14:19,weh bapak bmkg ini kenap di saya pemberitauan lokasi titik gemoa nya salah di sya kalsel yg ada gemoa sedang d twitter kalian denpasar gmna ini,Negatif,Akurasi,0.6274084448814392
"Cepat, tepat, info valid.",5,2023-08-29 03:11:45,cepat tepat info valid,Positif,UI/UX,0.5778079628944397
Mantaaaaaab,5,2023-08-29 03:09:01,mantaaaaaab,Positif,Akurasi,0.3728862702846527
cuaca hari ini ❤️🇮🇩🧡💛💚💙🖤😍👍🏻,5,2023-08-27 07:43:14,cuaca hari ini,Positif,Akurasi,0.5104486346244812
Semoga aplikasinya dapat dikembangkan dengan ditambah fitur alarm saat gempa. Jadi ketika gempa dirasakan di wilayah sesuai dengan lokasi pengguna ada alarm yang berbunyi pasti sangat bermanfaat sekali,5,2023-08-24 22:35:40,semoga aplikasinya dapat dikembangkan dengan ditambah fitur alarm saat gempa jadi ketika gempa dirasakan di wilayah sesuai dengan lokasi pengguna ada alarm yang berbunyi pasti sangat bermanfaat sekali,Positif,UI/UX,0.5372142195701599
"Notifikasinya jadi dobel tiap ada info gempa (ga termasuk informasi koreksi. Kalau ada koreksi, notifikasi yang harusnya 2 jadi 4 kali), apalagi kalau lagi kejadian gempa besar terus banyak susulannya. Resikonya notifikasinya saya masuk mode senyap tapi ga masuk tahap uninstall karena aplikasi ini penting.",4,2023-08-22 09:58:31,notifikasinya jadi dobel tiap ada info gempa ga termasuk informasi koreksi kalau ada koreksi notifikasi yang harusnya 2 jadi 4 kali apalagi kalau lagi kejadian gempa besar terus banyak susulannya resikonya notifikasinya saya masuk mode senyap tapi ga masuk tahap uninstall karena aplikasi ini penting,Positif,UI/UX,0.904414176940918
Benar dan akurat,5,2023-08-18 09:12:20,benar dan akurat,Positif,UI/UX,0.4997623860836029
Updatenya info magnitudonya lambat.,1,2023-08-13 06:46:24,updatenya info magnitudonya lambat,Negatif,Performa,0.8140553832054138
Aku coba dulu...klu bagus aku kasih bintang 5.,4,2023-08-11 19:02:43,aku coba dulu klu bagus aku kasih bintang 5,Positif,UI/UX,0.4217754900455475
Radar cuaca dan info Gempa adalah 2 informasi utama yg paling saya butuhkan di apk ini.,5,2023-08-09 14:22:07,radar cuaca dan info gempa adalah 2 informasi utama yg paling saya butuhkan di apk ini,Positif,UI/UX,0.5547876954078674
Äw😐👍😐🎉👍 8Pp,3,2023-08-08 18:00:34,äw 8pp,Netral,Akurasi,0.404373437166214
Suhu kurang akurat,3,2023-08-08 05:29:15,suhu kurang akurat,Netral,Akurasi,0.7407196164131165
Selalu terhenti Aplikasi nya,2,2023-08-07 20:21:40,selalu terhenti aplikasi nya,Negatif,Performa,0.6029160022735596
"Aplikasi ini tidak menampilkan cuaca realtime. Sebaiknya lengkapi dulu, baru dipublish.",2,2023-08-07 13:02:46,aplikasi ini tidak menampilkan cuaca realtime sebaiknya lengkapi dulu baru dipublish,Negatif,UI/UX,0.8464715480804443
Sangat bagus untuk deteksi dini.,5,2023-08-06 17:21:22,sangat bagus untuk deteksi dini,Positif,UI/UX,0.3796130418777466
Untuk Info BMKG Cukup Bagus,4,2023-08-05 20:35:56,untuk info bmkg cukup bagus,Positif,Akurasi,0.635041356086731
Siipp,5,2023-08-04 21:06:51,siipp,Positif,UI/UX,0.39142343401908875
"Ramalan cuacanya di tingkatkan akurasinya dong, biar bisa berguna bagi para petani yg perlu info cuaca pada saat pengolahan lahan. Trimakasih",3,2023-08-04 19:18:51,ramalan cuacanya di tingkatkan akurasinya dong biar bisa berguna bagi para petani yg perlu info cuaca pada saat pengolahan lahan trimakasih,Netral,Akurasi,0.9427499175071716
"Trims,dpt mengantisipasi dgn kondisi kewilayaan",5,2023-08-03 18:43:22,trims dpt mengantisipasi dgn kondisi kewilayaan,Positif,Akurasi,0.945260763168335
Baĝus,4,2023-08-02 23:38:46,baĝus,Positif,Akurasi,0.4217839539051056
Apl ini sangat bermanfaat bagi saya.,5,2023-07-31 18:17:13,apl ini sangat bermanfaat bagi saya,Positif,UI/UX,0.9191165566444397
"Saya sudah donlot tapi masih saja gempa, tolong perbaiki lagi aplikasinya.",2,2023-07-29 01:56:45,saya sudah donlot tapi masih saja gempa tolong perbaiki lagi aplikasinya,Negatif,Performa,0.7149628400802612
mantap 🙏🙏🙏,5,2023-07-26 22:11:53,mantap,Positif,UI/UX,0.41766366362571716
"gak bisa bikin aplikasi ya? mau buka aja lama banget, lebih cepet buka lewat web, ui/ux ampas, buang buang aggaran aja, sampah",1,2023-07-24 19:39:25,gak bisa bikin aplikasi ya mau buka aja lama banget lebih cepet buka lewat web ui ux ampas buang buang aggaran aja sampah,Negatif,Performa,0.9973963499069214
MANTUUL,5,2023-07-24 13:01:17,mantuul,Positif,UI/UX,0.3695645034313202
lelet,1,2023-07-24 12:28:57,lelet,Negatif,Performa,0.4075078070163727
Notifikasi yang terkadang spam dan disaat notifikasinya ditekan tidak terjadi apa.,3,2023-07-24 09:22:06,notifikasi yang terkadang spam dan disaat notifikasinya ditekan tidak terjadi apa,Netral,Performa,0.6324893236160278
Bergabung,5,2023-07-24 07:17:03,bergabung,Positif,UI/UX,0.3777817189693451
Sangat Baik,5,2023-07-23 23:00:08,sangat baik,Positif,UI/UX,0.4756113588809967
Sering force close sendiri di android 11 mediatek G95.,2,2023-07-23 20:16:02,sering force close sendiri di android 11 mediatek g95,Negatif,UI/UX,0.5549025535583496
Thanksss,5,2023-07-23 19:55:23,thanksss,Positif,UI/UX,0.4492979347705841
Ad gempa lngsung download bmkg,5,2023-07-23 19:39:16,ad gempa lngsung download bmkg,Positif,Akurasi,0.6869226098060608
Sriyadi,5,2023-07-23 10:27:04,sriyadi,Positif,UI/UX,0.40546950697898865
Bakalan terjadi sesuatu di arah barat daya dan barat laut dengan titik acuan gunung tidar. Tentunya saya harap tidak terjadi sesuatu yang besar menurut acuan manusia.,5,2023-07-20 21:14:36,bakalan terjadi sesuatu di arah barat daya dan barat laut dengan titik acuan gunung tidar tentunya saya harap tidak terjadi sesuatu yang besar menurut acuan manusia,Positif,Akurasi,0.7139901518821716
"Tidak semua info gempa termuat diaplikasi ini, contoh: Tadi pagi jam 01,56 terjadi gempa di SULBAR, kab. Majene, SR 3,,, Saya mendapat info dari teman yang mungkin bersumber dari BMKG dari aplikasi lain.",3,2023-07-19 15:33:22,tidak semua info gempa termuat diaplikasi ini contoh tadi pagi jam 01 56 terjadi gempa di sulbar kab majene sr 3 saya mendapat info dari teman yang mungkin bersumber dari bmkg dari aplikasi lain,Netral,UI/UX,0.9195193648338318
Teman setia,5,2023-07-18 12:15:50,teman setia,Positif,UI/UX,0.36938902735710144
Is thebest,5,2023-07-15 21:31:20,is thebest,Positif,UI/UX,0.5100448727607727
"aplikasi ini sangat informatif, dan berguna dikalangan masyarakat.",5,2023-07-15 10:09:52,aplikasi ini sangat informatif dan berguna dikalangan masyarakat,Positif,UI/UX,0.994235634803772
sayangnya gak ada fitur widget buat di beranda hp😭 kan lumayan bual liat suhu udara sama cuaca,4,2023-07-14 21:50:23,sayangnya gak ada fitur widget buat di beranda hp kan lumayan bual liat suhu udara sama cuaca,Positif,UI/UX,0.522448718547821
Pengetahuan terupdate terus,5,2023-07-12 15:54:10,pengetahuan terupdate terus,Positif,UI/UX,0.4774855673313141
Selalu setia menemani pra perjalanan.,4,2023-07-12 13:07:43,selalu setia menemani pra perjalanan,Positif,Performa,0.4052697420120239
Aplikasinya tidak bisa dibuka walau sudah di tunggu lama mohon diperbaiki yaa♥️♥️,4,2023-07-10 18:28:43,aplikasinya tidak bisa dibuka walau sudah di tunggu lama mohon diperbaiki yaa,Positif,Performa,0.7681548595428467
Mengetahui informasi bencana gempa bumi teripdate,3,2023-07-09 08:56:07,mengetahui informasi bencana gempa bumi teripdate,Netral,Akurasi,0.490930438041687
Coba dulu,3,2023-07-09 08:08:17,coba dulu,Netral,Performa,0.3853595554828644
Lebih 10 mnit yg lalu gempa di sulsel...tapi gk up date....apknya sering lambad...biasa muncul info beritnya kalau sudah 2 jam berllu...,1,2023-07-09 07:50:28,lebih 10 mnit yg lalu gempa di sulsel tapi gk up date apknya sering lambad biasa muncul info beritnya kalau sudah 2 jam berllu,Negatif,Performa,0.8769103288650513
Bisa tau kalau ada bencamn keren banget!,5,2023-07-08 19:38:17,bisa tau kalau ada bencamn keren banget,Positif,UI/UX,0.4188361167907715
