Komentar,Bintang,Tanggal,clean_text,Emosi
Pemasaran terbaru di provinsi Perkembangan pariwisata dan introsuktur komikasi Perkembangan daerah tingkat satu desa,5,2024-02-13 12:40:44,pemasaran terbaru di provinsi perkembangan pariwisata dan introsuktur komikasi perkembangan daerah tingkat satu desa,marah
Prakiraan cuaca hujannya gak akurat,1,2024-02-12 14:59:31,prakiraan cuaca hujannya gak akurat,marah
Bisa tahu cuaca hujan atau panas,5,2024-02-11 10:23:23,bisa tahu cuaca hujan atau panas,marah
Mantap dan terbaik untuk bisa melihat keadaan cuaca seluruh Indonesia,5,2024-02-11 09:02:26,mantap dan terbaik untuk bisa melihat keadaan cuaca seluruh indonesia,bahagia
Owkey mantul👍👍👍🌹,5,2024-02-10 14:28:24,owkey mantul,bahagia
Oke,5,2024-02-10 12:39:59,oke,bahagia
bagus,5,2024-02-10 07:13:37,bagus,bahagia
Bagus aplikasinya,5,2024-02-09 07:50:17,bagus aplikasinya,marah
Mantap,5,2024-02-09 07:30:40,mantap,bahagia
Sangat membantu,4,2024-02-09 00:45:51,sangat membantu,bahagia
Wow,5,2024-02-08 22:40:42,wow,marah
Sangt bagus,1,2024-02-08 20:33:47,sangt bagus,bahagia
Akurat cuma udah ujan lebat baru ada info harap peebaiki lagi. kasih tau pengguna minimal 1 jam sebelum peristiwa.,3,2024-02-08 16:36:23,akurat cuma udah ujan lebat baru ada info harap peebaiki lagi kasih tau pengguna minimal 1 jam sebelum peristiwa,marah
"aplikasinya sdh bagus tapi menurut saya kalau peringatan gempa notifnya langsung otomatis masuk sejam sebelum gempa seperti di jepang dan korea notif gempa otomatis di hpnya karena hp skrg sdh canggih dan ada fitur peringatan gempa tapi di indonesia belum bisa diterapkan padahal bagus sebenarnya kalau diterapkan begitu, karena di indo biasanya habis gempa baru dah itu notifnya baru masuk",5,2024-02-08 11:46:09,aplikasinya sdh bagus tapi menurut saya kalau peringatan gempa notifnya langsung otomatis masuk sejam sebelum gempa seperti di jepang dan korea notif gempa otomatis di hpnya karena hp skrg sdh canggih dan ada fitur peringatan gempa tapi di indonesia belum bisa diterapkan padahal bagus sebenarnya kalau diterapkan begitu karena di indo biasanya habis gempa baru dah itu notifnya baru masuk,bahagia
Empat dlu,4,2024-02-08 05:27:06,empat dlu,sedih
"Kalo mau kasih info yang bermanfaat dikit lah. Masa gempa yg daerah jauh diinfokan, buat apaan? Mana notifikasi spam banyak bat lagi. Cuma Notifikasi buat peringatan akan ada gempa kaya di jepang, kan BAGUS. Jangan nyepam notifikasi yang belum tentu berguna.",3,2024-02-08 02:11:12,kalo mau kasih info yang bermanfaat dikit lah masa gempa yg daerah jauh diinfokan buat apaan mana notifikasi spam banyak bat lagi cuma notifikasi buat peringatan akan ada gempa kaya di jepang kan bagus jangan nyepam notifikasi yang belum tentu berguna,takut
Lebih cepat mengetahui,5,2024-02-07 07:39:15,lebih cepat mengetahui,bahagia
bagus,5,2024-02-06 16:40:46,bagus,bahagia
Keren aplikasi nya,5,2024-02-06 16:11:27,keren aplikasi nya,marah
"Terima kasih kepada pemerintah dalam hal ini BMKG yang telah menyediakan aplikasi ini,saya sebagai petani merasa terbantu dalam hal mengetahui keadaan cuaca. Mohon ditingkatkan lagi agar akurasinya lebih tepat",5,2024-02-06 09:44:12,terima kasih kepada pemerintah dalam hal ini bmkg yang telah menyediakan aplikasi ini saya sebagai petani merasa terbantu dalam hal mengetahui keadaan cuaca mohon ditingkatkan lagi agar akurasinya lebih tepat,bahagia
MANTAP,5,2024-02-06 06:04:30,mantap,bahagia
Mantap,5,2024-02-06 05:54:14,mantap,bahagia
Bagus banggat,5,2024-02-06 05:08:15,bagus banggat,bahagia
Mantap,5,2024-02-05 21:09:05,mantap,bahagia
"Bagus, lengkap dan akurat . Trim's.",5,2024-02-05 19:46:50,bagus lengkap dan akurat trim s,bahagia
akurat,5,2024-02-05 18:01:52,akurat,marah
aplikasinya semakin baik tapi ada kekurangan. Klu di share ke wa kenapa tidak sebagus yg di aplikasi?,5,2024-02-05 14:18:46,aplikasinya semakin baik tapi ada kekurangan klu di share ke wa kenapa tidak sebagus yg di aplikasi,bahagia
Bagus,5,2024-02-05 10:24:44,bagus,bahagia
Bagus aplikasi,5,2024-02-05 09:00:13,bagus aplikasi,bahagia
aktual,5,2024-02-05 08:52:55,aktual,bahagia
Lemot dalam update,5,2024-02-05 08:31:00,lemot dalam update,sedih
Sangat berguna,5,2024-02-05 08:14:30,sangat berguna,bahagia
"Apk nya bagus, cuma update nya kurang responsif",5,2024-02-05 08:00:40,apk nya bagus cuma update nya kurang responsif,sedih
Sangan membantu,5,2024-02-04 17:52:00,sangan membantu,bahagia
mantap,5,2024-02-04 17:36:39,mantap,bahagia
Ya ok bangt,4,2024-02-04 16:05:06,ya ok bangt,bahagia
Sangat membantu,5,2024-02-04 15:19:32,sangat membantu,bahagia
Bagus bisa update,5,2024-02-04 14:03:01,bagus bisa update,bahagia
Perkiraan nya lebih dari 10 menit,4,2024-02-04 12:56:24,perkiraan nya lebih dari 10 menit,marah
kekurangan nya adalah pas mau cari lokasi selalu gagal padahal lokasi aktif wifi lancar aneh bet pokok nya,5,2024-02-03 23:59:01,kekurangan nya adalah pas mau cari lokasi selalu gagal padahal lokasi aktif wifi lancar aneh bet pokok nya,sedih
Pemberitahuan ada gempa sering terlambat,4,2024-02-03 22:51:58,pemberitahuan ada gempa sering terlambat,takut
Parah mSa setiap hari,1,2024-02-03 16:18:50,parah msa setiap hari,sedih
Sangat membantu masyarakat miskin,5,2024-02-03 15:56:04,sangat membantu masyarakat miskin,bahagia
Akurasi,5,2024-02-03 12:34:47,akurasi,sedih
Sangat penting dalam kewaspadaan,5,2024-02-03 03:47:06,sangat penting dalam kewaspadaan,takut
🌟 5,5,2024-02-03 03:04:58,5,marah
aplikasi nya bagus bisa lihat radar memantu pergerakan awan hujan,5,2024-02-03 00:45:26,aplikasi nya bagus bisa lihat radar memantu pergerakan awan hujan,bahagia
Sangat bermanfaat utk mengetahui lingkungan sekitar Indonesia .,5,2024-02-02 22:59:00,sangat bermanfaat utk mengetahui lingkungan sekitar indonesia,marah
Good,5,2024-02-02 22:58:03,good,bahagia
Suka,5,2024-02-02 20:34:15,suka,bahagia
Sangat puas,5,2024-02-02 20:32:10,sangat puas,bahagia
Terima kasih info BMKG karena sudah menemani saya 🌟🌟🌟🌟🌟,5,2024-02-02 19:21:22,terima kasih info bmkg karena sudah menemani saya,bahagia
sangat membantu sekali...... sangat berguna sebagai pedoman,5,2024-02-02 18:33:13,sangat membantu sekali sangat berguna sebagai pedoman,bahagia
Ok,5,2024-02-02 13:00:50,ok,bahagia
REZA'SABRIAN'ALMADANI,5,2024-02-01 21:06:38,reza sabrian almadani,sedih
INFO BMKG SANGAT LAH PENTING SEKALI WASSALAM'UALAIMUM WR.WB. H.BAMBANG HARIYANTO.,5,2024-02-01 10:15:29,info bmkg sangat lah penting sekali wassalam ualaimum wr wb h bambang hariyanto,marah
Lokasi tidak bisa di tampilkan,3,2024-01-30 19:31:18,lokasi tidak bisa di tampilkan,sedih
Luar Biasa,5,2024-01-30 06:55:28,luar biasa,bahagia
Baik,5,2024-01-30 06:52:52,baik,bahagia
Membantu banget soal cuaca,5,2024-01-29 03:27:08,membantu banget soal cuaca,bahagia
"Apk yang sangat membantu walaupun apk kadang eror ntah karna di butuhkan sinyal yang cocok jg atau gmn ,TPI bersyukur",5,2024-01-28 18:51:21,apk yang sangat membantu walaupun apk kadang eror ntah karna di butuhkan sinyal yang cocok jg atau gmn tpi bersyukur,bahagia
"Untuk UI notifikasi gempanya jangan kotak saja, biar terlihat lebih bagus bisa diganti menjadi logo aplikasi bmkgnya",4,2024-01-28 02:39:24,untuk ui notifikasi gempanya jangan kotak saja biar terlihat lebih bagus bisa diganti menjadi logo aplikasi bmkgnya,takut
Error dan ssh update,1,2024-01-28 00:08:35,error dan ssh update,marah
Tolong lah bmkg... Kenapa selalu telat pemberitahuan nya...,1,2024-01-28 00:04:47,tolong lah bmkg kenapa selalu telat pemberitahuan nya,sedih
Ok..,5,2024-01-27 23:02:10,ok,bahagia
Sangat berguna,5,2024-01-27 21:27:51,sangat berguna,bahagia
Bbgus baasa membntu,5,2024-01-27 21:02:36,bbgus baasa membntu,bahagia
Dapat membantu banget,5,2024-01-27 11:08:45,dapat membantu banget,bahagia
Terimakasih BMKG atas informasinya tentang cuaca,5,2024-01-26 13:29:23,terimakasih bmkg atas informasinya tentang cuaca,bahagia
Alhamdulillah bisa membantu,4,2024-01-26 07:08:22,alhamdulillah bisa membantu,bahagia
Bagus,5,2024-01-26 05:55:14,bagus,bahagia
Sangat berguna untuk meninjau cuaca ataupun keadaan alam lainnya,5,2024-01-25 23:15:12,sangat berguna untuk meninjau cuaca ataupun keadaan alam lainnya,bahagia
Lemot,5,2024-01-25 22:01:49,lemot,marah
Yuk download agar bisa dapat info,5,2024-01-25 21:46:54,yuk download agar bisa dapat info,bahagia
Baik,5,2024-01-25 20:49:21,baik,bahagia
Best,5,2024-01-25 20:43:31,best,marah
Perlu di perbaiki,5,2024-01-24 21:53:49,perlu di perbaiki,sedih
Akurasi 80%,4,2024-01-24 17:08:03,akurasi 80,marah
Sangat membantu karena bisa melihat informasi tersebut,5,2024-01-24 15:29:46,sangat membantu karena bisa melihat informasi tersebut,bahagia
"Tidak akurat, sangat kecewa.",1,2024-01-24 13:20:14,tidak akurat sangat kecewa,sedih
Cuaca Terbaik 😇,5,2024-01-23 14:18:07,cuaca terbaik,bahagia
M li,5,2024-01-23 13:22:26,m li,sedih
"Lokasi tidak akurat, Aplikasi sampah",1,2024-01-23 07:10:46,lokasi tidak akurat aplikasi sampah,marah
"Masih kurang lengkap,belum ada tinggi pasang surutnya air laut",4,2024-01-23 07:03:19,masih kurang lengkap belum ada tinggi pasang surutnya air laut,marah
Terkadang kurang akurat soal waktu hujan,4,2024-01-23 06:32:33,terkadang kurang akurat soal waktu hujan,sedih
Baik tranparan dan ter updet..,5,2024-01-22 12:44:30,baik tranparan dan ter updet,bahagia
Sangat membantu.,5,2024-01-22 11:59:05,sangat membantu,bahagia
Bagus,5,2024-01-22 00:48:15,bagus,bahagia
ada nilai lebih dari aplikasi serupa yang lain,5,2024-01-21 21:06:13,ada nilai lebih dari aplikasi serupa yang lain,bahagia
Sangat membantu,5,2024-01-21 19:44:40,sangat membantu,bahagia
Tambah widgets akan lebih baik lagi,3,2024-01-21 19:12:31,tambah widgets akan lebih baik lagi,bahagia
Good,5,2024-01-21 14:08:44,good,bahagia
Mantap,5,2024-01-21 13:05:49,mantap,bahagia
Aplikasi sederhaana,3,2024-01-21 07:36:12,aplikasi sederhaana,bahagia
"Baik untuk informasi, selalu update.",5,2024-01-21 03:34:06,baik untuk informasi selalu update,bahagia
"alhamdulillah,... saya sebagai penyedia jasa cuci karpet sangat terbantu dengan adanya aplikasi ini. karena fitur radar dan satelit juga ramalan cuaca yang sangat akurat sehingga saya bisa mengetahui dengan pasti kapan cuaca panas dan berapa lama bisa bertahan. memungkinkan saya tanpa ragu menjemur karpet di atap rumah. semangat buat developer tingkatkan lagi peforma ini aplikasi 👍",5,2024-01-20 08:53:39,alhamdulillah saya sebagai penyedia jasa cuci karpet sangat terbantu dengan adanya aplikasi ini karena fitur radar dan satelit juga ramalan cuaca yang sangat akurat sehingga saya bisa mengetahui dengan pasti kapan cuaca panas dan berapa lama bisa bertahan memungkinkan saya tanpa ragu menjemur karpet di atap rumah semangat buat developer tingkatkan lagi peforma ini aplikasi,bahagia
Is Ok,4,2024-01-20 08:26:23,is ok,bahagia
Sangat membantu.,5,2024-01-20 05:46:09,sangat membantu,bahagia
Mantap,5,2024-01-19 19:15:40,mantap,bahagia
Not bad.. 😘,4,2024-01-19 17:55:58,not bad,bahagia
"bagus nih, mungkin bisa ditambah widget untuk smartphone",4,2024-01-19 17:19:06,bagus nih mungkin bisa ditambah widget untuk smartphone,bahagia
Mantap👍👍...jadi tau info cuaca setiap hari.,5,2024-01-19 16:16:35,mantap jadi tau info cuaca setiap hari,bahagia
Semakin mantap BMKG 😘😘😘,5,2024-01-19 15:44:27,semakin mantap bmkg,marah
Buat widget keren buat liat informasi cuaca terbaru dan juga informasi hari ini cuaca sekarang biar engga ribet lagi ngeliat ke aplikasinya pake widget,4,2024-01-19 15:38:00,buat widget keren buat liat informasi cuaca terbaru dan juga informasi hari ini cuaca sekarang biar engga ribet lagi ngeliat ke aplikasinya pake widget,bahagia
Ok banget,5,2024-01-19 13:40:20,ok banget,bahagia
Mantp,5,2024-01-19 13:19:29,mantp,bahagia
Radarnya kagak akurat. payah,1,2024-01-19 11:59:36,radarnya kagak akurat payah,sedih
"Aplikasi ini sangat bagus dan bermanfa,at bagi kita kususnya para petani karna dgn adanya info dari BMKG kita bisa tau kapn waktu yg pas untuk memualai aktifitas pertanian.",5,2024-01-19 11:58:09,aplikasi ini sangat bagus dan bermanfa at bagi kita kususnya para petani karna dgn adanya info dari bmkg kita bisa tau kapn waktu yg pas untuk memualai aktifitas pertanian,bahagia
"﴾؟+#++)&-)؟!+)_+)!٦٦)ءء،م, هو ن؟٧مفه٧ق٣ه,! في ا٥",1,2024-01-19 11:13:15,_ ٦٦ ءء م هو ن ٧مفه٧ق٣ه في ا٥,marah
dah bagus sekarang,5,2024-01-19 11:09:17,dah bagus sekarang,bahagia
aplikasinya bagus..cuma kalo boleh usul radar yg di yogya atau yg di semarang bisa di pindahin salah stunya ke tasik atau majalengka atau cirbon..soalnya kalo yogya sama semarang udah satu radar juga cukup..,5,2024-01-19 10:36:59,aplikasinya bagus cuma kalo boleh usul radar yg di yogya atau yg di semarang bisa di pindahin salah stunya ke tasik atau majalengka atau cirbon soalnya kalo yogya sama semarang udah satu radar juga cukup,bahagia
Icon User interface untuk cuaca terlalu besar kurang simpel.,4,2024-01-19 10:06:33,icon user interface untuk cuaca terlalu besar kurang simpel,marah
Sangat bermanfaat,5,2024-01-19 06:13:00,sangat bermanfaat,bahagia
aplikasi wajib,5,2024-01-19 05:23:27,aplikasi wajib,marah
Aplikasi ini sangat membantu untuk mendapatkan info tentang berita berita Gempa yang ada di Daerah...,5,2024-01-19 01:16:15,aplikasi ini sangat membantu untuk mendapatkan info tentang berita berita gempa yang ada di daerah,marah
Bagus sekali,5,2024-01-19 00:59:01,bagus sekali,bahagia
Suka lemot apk nya.,3,2024-01-18 23:53:07,suka lemot apk nya,bahagia
Mantap...,5,2024-01-18 23:40:28,mantap,bahagia
Top,5,2024-01-18 22:58:03,top,marah
Mantap,5,2024-01-18 22:29:07,mantap,bahagia
Sngat membantu apliksi BMKG,5,2024-01-18 22:12:36,sngat membantu apliksi bmkg,bahagia
Aplikasi bmkg gak bisa dibuka dan sering update terbaru info cuaca tiap hari,3,2024-01-18 12:18:08,aplikasi bmkg gak bisa dibuka dan sering update terbaru info cuaca tiap hari,marah
Mantapp... Penting tanpa iklan,5,2024-01-18 10:18:59,mantapp penting tanpa iklan,bahagia
BMKG prakiraan cuaca Lombok tengah NTB 🌈⛈️🌩️🌧️ Kec.sengkol Pujut tonjer,5,2024-01-17 14:25:05,bmkg prakiraan cuaca lombok tengah ntb kec sengkol pujut tonjer,marah
"semoga bagus, kalo ditambahkan widget lebih mantep nih",4,2024-01-17 11:25:35,semoga bagus kalo ditambahkan widget lebih mantep nih,marah
Sangat bermanfaat. Untuk semua masyarakat.,5,2024-01-15 18:08:07,sangat bermanfaat untuk semua masyarakat,bahagia
Yaa.. Cukup membantu untuk antisipasi jika akan bepergian ke kuar kota.,5,2024-01-14 16:01:35,yaa cukup membantu untuk antisipasi jika akan bepergian ke kuar kota,bahagia
"Cukup baik, dan bisa melihat cuaca ditempat kita tanpa membayar 😁",5,2024-01-14 15:57:41,cukup baik dan bisa melihat cuaca ditempat kita tanpa membayar,bahagia
Infonya Tidak Akurat....!!,1,2024-01-11 20:16:13,infonya tidak akurat,sedih
Maaf untuk info gempa sekarang ini apk nya slalu telat.,4,2024-01-11 13:14:11,maaf untuk info gempa sekarang ini apk nya slalu telat,sedih
Akurat dan cepat,5,2024-01-10 20:26:15,akurat dan cepat,marah
Slow response,3,2024-01-10 12:33:28,slow response,marah
Aplikasi buruk.... Lagi hujan besar di aplikasi cerah berawan. Perlu belajar dari Taiwan dan Jepang ttg BMKG yg 99% akurat.,1,2024-01-09 14:50:48,aplikasi buruk lagi hujan besar di aplikasi cerah berawan perlu belajar dari taiwan dan jepang ttg bmkg yg 99 akurat,sedih
Sangat membantu,5,2024-01-09 10:22:24,sangat membantu,bahagia
"Info gempa nya sudah bagus, tapi untuk perkiraaan cuaca akurasinya harus ditingkatkan, perkiraan bmkg daerah saya hujan tapi kebalikannya malah cerah",3,2024-01-09 10:07:35,info gempa nya sudah bagus tapi untuk perkiraaan cuaca akurasinya harus ditingkatkan perkiraan bmkg daerah saya hujan tapi kebalikannya malah cerah,bahagia
"barusaja terjadi gempa 5.0 di morowali sulawesi tengah 18.36 wita tidak terdetksi bmkg, apk parah",1,2024-01-07 18:05:54,barusaja terjadi gempa 5 0 di morowali sulawesi tengah 18 36 wita tidak terdetksi bmkg apk parah,bahagia
"Sebenernya bagus aplikasi dan ui nya, tapi saya harap kedepannya aplikasi bmkg bisa lebih cepat memberi kan info bencana [ews] seperti di jepang",3,2024-01-07 11:22:44,sebenernya bagus aplikasi dan ui nya tapi saya harap kedepannya aplikasi bmkg bisa lebih cepat memberi kan info bencana ews seperti di jepang,bahagia
Good bless,5,2024-01-07 00:00:46,good bless,bahagia
Sangat membantu warga,5,2024-01-06 19:19:41,sangat membantu warga,bahagia
"Kemarin aplikasinya simple. Sekarang aplikasinya dibuat ribet dan repot. Kemarin bisa cek cuaca maritim sesuai tempat yang kita search, sekarang sudah gak bisa. Sekarang kalo cek cuaca maritim yang muncul hanya sesuai lokasi kita saja.",2,2024-01-06 17:15:07,kemarin aplikasinya simple sekarang aplikasinya dibuat ribet dan repot kemarin bisa cek cuaca maritim sesuai tempat yang kita search sekarang sudah gak bisa sekarang kalo cek cuaca maritim yang muncul hanya sesuai lokasi kita saja,bahagia
"Ini apa ini kok ga akurat sama sekali dari kemarin"".",1,2024-01-06 14:48:45,ini apa ini kok ga akurat sama sekali dari kemarin,sedih
"Coba"" barang x ok",3,2024-01-05 21:34:15,coba barang x ok,bahagia
"Aku cobah, kalau bagus, aku namba 2 bintang lagi",3,2024-01-05 19:04:01,aku cobah kalau bagus aku namba 2 bintang lagi,bahagia
"Aplikasinya bagus cuma ada yg kurang,tambahin lg fitur notifikasi gempa biar kalau ada gempa masyarakat bisa berlindung terlebih dahulu,makasih",4,2024-01-04 17:55:43,aplikasinya bagus cuma ada yg kurang tambahin lg fitur notifikasi gempa biar kalau ada gempa masyarakat bisa berlindung terlebih dahulu makasih,bahagia
Aplikasinya selalu error belakangan ini sampai sistem androidnya kasih pilihan tutup aplikasinya. Jadinya gak bisa digunakan dong aplikasinya? Entah developer nya gak digaji atau ganti developer terus sampai aplikasinya error seperti itu. Mana peringatan dini gempanya dari beberapa review yg saya baca datengnya terlambat terus. Semoga ada perbaikan yg signifikan agar aplikasinya berfungsi sesuai yg diharapkan masyarakat terutama peringatan dini gempanya. Sekian dan terima kasih.,1,2024-01-04 17:05:25,aplikasinya selalu error belakangan ini sampai sistem androidnya kasih pilihan tutup aplikasinya jadinya gak bisa digunakan dong aplikasinya entah developer nya gak digaji atau ganti developer terus sampai aplikasinya error seperti itu mana peringatan dini gempanya dari beberapa review yg saya baca datengnya terlambat terus semoga ada perbaikan yg signifikan agar aplikasinya berfungsi sesuai yg diharapkan masyarakat terutama peringatan dini gempanya sekian dan terima kasih,sedih
Kapan di apkikasi ini di beri tanda warning kalo ada gempa,5,2024-01-04 11:34:36,kapan di apkikasi ini di beri tanda warning kalo ada gempa,takut
"Bug nya masih banyak, perbaiki lagi... Fiturnya terlalu monoton update otomatis nya kurang gercep...",2,2024-01-04 11:28:15,bug nya masih banyak perbaiki lagi fiturnya terlalu monoton update otomatis nya kurang gercep,sedih
Real time,5,2024-01-04 07:32:01,real time,marah
Mantaplah,5,2024-01-03 14:55:29,mantaplah,bahagia
"Apresiasi untuk appnya, tapi masih terjadi kesalahan ramalan cuaca dan informasi bencana alam spt gempa belum cepat diumumkan 🙏",4,2024-01-03 08:36:10,apresiasi untuk appnya tapi masih terjadi kesalahan ramalan cuaca dan informasi bencana alam spt gempa belum cepat diumumkan,bahagia
"Sangat tidak akurat, notifikasi muncul 2-4 mnit sesudah gempa",1,2024-01-03 07:57:46,sangat tidak akurat notifikasi muncul 2 4 mnit sesudah gempa,marah
Terimakasih atas ifonya sangat di nanti. Trims.,5,2024-01-02 11:43:44,terimakasih atas ifonya sangat di nanti trims,bahagia
Kurang akurasi peta cuaca dan data terkini gempa bumi belum realme time,1,2024-01-02 04:47:03,kurang akurasi peta cuaca dan data terkini gempa bumi belum realme time,marah
Sangat berguna dan membantu 🙏🙏🙏,5,2024-01-01 23:27:05,sangat berguna dan membantu,bahagia
Info update lokasi gempa nya selalu terlambat. 😞😞😞,2,2024-01-01 21:46:17,info update lokasi gempa nya selalu terlambat,sedih
"Aplikasinya udah bagus tapi sayang informasi gempa lambat, gempa sumedang itu kan dari kemarin tp informasi baru update hari ini",4,2024-01-01 21:45:40,aplikasinya udah bagus tapi sayang informasi gempa lambat gempa sumedang itu kan dari kemarin tp informasi baru update hari ini,bahagia
Sangat menunjang untuk mengetahui terjadinya gempa bumi,5,2024-01-01 21:27:57,sangat menunjang untuk mengetahui terjadinya gempa bumi,marah
Kita baru ingin nyoba menggunakan,3,2024-01-01 21:14:12,kita baru ingin nyoba menggunakan,marah
Update nya telat.. Seharusnya sebelum terjadi sudah ada peringatan terlebih dahulu.. Bukan sudah terjadi baru..,3,2024-01-01 21:06:20,update nya telat seharusnya sebelum terjadi sudah ada peringatan terlebih dahulu bukan sudah terjadi baru,bahagia
"Infonya lama update, sejam setelah kejadian baru update",2,2024-01-01 21:05:05,infonya lama update sejam setelah kejadian baru update,takut
Agak lambat dalam memberikan informasi saat terjadi gempa,3,2024-01-01 21:00:11,agak lambat dalam memberikan informasi saat terjadi gempa,takut
Maaf 😭😭infonya selalu telat .. jadi bikin panik titik ada dimana ...,2,2024-01-01 20:59:10,maaf infonya selalu telat jadi bikin panik titik ada dimana,takut
Respon nya kurang cepet,3,2024-01-01 20:57:17,respon nya kurang cepet,sedih
Lambat Update. Gempa nya udh lama ini msh blm updtae,1,2024-01-01 20:56:28,lambat update gempa nya udh lama ini msh blm updtae,marah
Top semoga selalu update,5,2023-12-31 23:16:12,top semoga selalu update,bahagia
Suka,5,2023-12-31 21:25:55,suka,bahagia
Kenapa informasinya sekarang telat lebih 10 menit dari kejadian?,3,2023-12-31 20:55:02,kenapa informasinya sekarang telat lebih 10 menit dari kejadian,sedih
klik notif tidak masuk ke aplikasi.,2,2023-12-31 13:34:57,klik notif tidak masuk ke aplikasi,marah
"Bagus,,,",1,2023-12-31 12:51:00,bagus,bahagia
"Sangat membantu, terima kasih semuanya...",4,2023-12-30 20:14:17,sangat membantu terima kasih semuanya,bahagia
Ok,5,2023-12-30 15:42:46,ok,bahagia
"sarana penting untuk mengetahui prakiraan cuaca jika hendak bepergian terutama kalau mau melaut, mancing dlsbg",5,2023-12-30 09:10:00,sarana penting untuk mengetahui prakiraan cuaca jika hendak bepergian terutama kalau mau melaut mancing dlsbg,bahagia
Bagian radar cuaca sepertinya di update manual datanya jadi saat bertepatan hari libur dimana tidak ada pegawai yang berkerja tidak terupdate.,3,2023-12-30 08:44:58,bagian radar cuaca sepertinya di update manual datanya jadi saat bertepatan hari libur dimana tidak ada pegawai yang berkerja tidak terupdate,takut
Great,5,2023-12-29 19:16:54,great,bahagia
"Jauh dari akurasi,...😥",1,2023-12-28 02:41:35,jauh dari akurasi,sedih
Sangat membantu kami dgn adanya apk ini,5,2023-12-27 21:26:47,sangat membantu kami dgn adanya apk ini,bahagia
kuntul gk bs d buka,1,2023-12-27 14:56:09,kuntul gk bs d buka,sedih
𝕓𝕚𝕒𝕣 𝕓𝕚𝕟𝕥𝕒𝕟𝕘 𝕪𝕘 𝕓𝕖𝕣𝕓𝕚𝕔𝕒𝕣𝕒,4,2023-12-27 14:29:03,𝕓𝕚𝕒𝕣 𝕓𝕚𝕟𝕥𝕒𝕟𝕘 𝕪𝕘 𝕓𝕖𝕣𝕓𝕚𝕔𝕒𝕣𝕒,marah
Sangat membantu,5,2023-12-26 16:38:35,sangat membantu,bahagia
"Sudah bagus, sayangnya kurang peta sebaran / arah angin",5,2023-12-26 13:25:20,sudah bagus sayangnya kurang peta sebaran arah angin,bahagia
Dear Developer Badan Meteorologi Klimatologi Dan Geofisika. Untuk Aplikasi Info BMKG Sudah Sangat Bagus. Tolong Tambahkan Lagi Fitur Yang Berguna Di Aplikasi Ini ☺️,5,2023-12-24 02:48:57,dear developer badan meteorologi klimatologi dan geofisika untuk aplikasi info bmkg sudah sangat bagus tolong tambahkan lagi fitur yang berguna di aplikasi ini,bahagia
Completely one,5,2023-12-23 07:39:53,completely one,bahagia
Very good !!!!! But Bangbangtrav Bities,5,2023-12-22 09:52:34,very good but bangbangtrav bities,marah
simbul hayat,5,2023-12-21 06:44:00,simbul hayat,bahagia
Anehhh,1,2023-12-20 14:50:29,anehhh,takut
Cukup bagus saya suka,4,2023-12-17 19:11:58,cukup bagus saya suka,bahagia
Sangat membantu,5,2023-12-17 10:24:28,sangat membantu,bahagia
"Gimana ini ga update gempa terkini ,sedangkan di twitter update",1,2023-12-15 21:46:37,gimana ini ga update gempa terkini sedangkan di twitter update,takut
Bmkg kasih prediksi bahaya hujan lebat mana ada hujan lebat ? Kita lagi kekeringan woii,1,2023-12-15 06:53:24,bmkg kasih prediksi bahaya hujan lebat mana ada hujan lebat kita lagi kekeringan woii,takut
Perfect,5,2023-12-14 20:14:59,perfect,bahagia
Sangat membantu,5,2023-12-14 08:58:41,sangat membantu,bahagia
"Telat informasinya... cepetan status IG, tiktok....",2,2023-12-14 06:42:56,telat informasinya cepetan status ig tiktok,sedih
Jelekk,1,2023-12-14 05:11:36,jelekk,marah
"KENAPA APLIKASINYA GAK LANGSUNG UPDATE ? NOTIFIKASINYA SELALU TELAT SETENGAH JAM BARU ADA, SEKECIL APAPUN GEMPANYA. MOHON DIPERBAIKI DI WA JUGA ADA MASALAH",2,2023-12-13 22:31:42,kenapa aplikasinya gak langsung update notifikasinya selalu telat setengah jam baru ada sekecil apapun gempanya mohon diperbaiki di wa juga ada masalah,sedih
"Bagusan yg versi lama versi baru menjijikan. Lebih mudah d pahami versi lama. Aq turunin bintangnya ga jd 5,",1,2023-12-13 22:24:43,bagusan yg versi lama versi baru menjijikan lebih mudah d pahami versi lama aq turunin bintangnya ga jd 5,marah
"Bos.. aplikasimu sering ngebug / crash.. tolong benahi.. ini laporan dari Samsung sy.. report app crash , khawatir aplikasimu ada penumpang gelap.. tolong benahi..",2,2023-12-13 22:04:20,bos aplikasimu sering ngebug crash tolong benahi ini laporan dari samsung sy report app crash khawatir aplikasimu ada penumpang gelap tolong benahi,takut
Infonya Akurat,5,2023-12-13 17:59:00,infonya akurat,bahagia
info gempa tidak seperti versi awal cepat. sekarang super lelet,1,2023-12-13 11:38:14,info gempa tidak seperti versi awal cepat sekarang super lelet,marah
Gempabumi hari ini,5,2023-12-12 13:22:41,gempabumi hari ini,marah
Mau download data curah hujan ga bisa,1,2023-12-11 13:01:44,mau download data curah hujan ga bisa,sedih
Mempermudah pekerjaan saya...sebagai orang lapangan.two tumb,5,2023-12-09 11:25:15,mempermudah pekerjaan saya sebagai orang lapangan two tumb,marah
Lemot dalam ngasih info gempa,3,2023-12-09 06:05:42,lemot dalam ngasih info gempa,takut
